CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2017,439,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2018,370,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2019,428,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2000,1746,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2001,998,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2002,384,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2003,359,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2004,394,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2005,293,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2006,253,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2007,203,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2008,242,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2009,152,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2010,217,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2011,229,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2012,211,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2013,250,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2014,243,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2015,253,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2016,293,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2017,410,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2018,351,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,2019,273,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2000,20,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2001,15,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2002,15,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2003,24,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2004,26,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2005,44,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2006,32,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2007,28,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2008,30,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2009,28,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2010,50,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2011,32,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2012,48,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2013,28,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2014,22,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2015,79,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2016,55,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2017,59,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2018,75,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,2019,95,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2007,15,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2008,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2009,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2010,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2011,28,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2012,15,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2013,26,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2014,20,
