Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Women,Iceland,2006,3
Iran,Inflows of foreign population by nationality,Women,Iceland,2007,2
Iran,Inflows of foreign population by nationality,Women,Iceland,2008,4
Iran,Inflows of foreign population by nationality,Women,Iceland,2009,1
Iran,Inflows of foreign population by nationality,Women,Iceland,2010,1
Iran,Inflows of foreign population by nationality,Women,Iceland,2011,3
Iran,Inflows of foreign population by nationality,Women,Iceland,2012,4
Iran,Inflows of foreign population by nationality,Women,Iceland,2013,2
Iran,Inflows of foreign population by nationality,Women,Iceland,2014,5
Iran,Inflows of foreign population by nationality,Women,Iceland,2015,5
Iran,Inflows of foreign population by nationality,Women,Iceland,2016,13
Iran,Inflows of foreign population by nationality,Women,Iceland,2017,4
Iran,Inflows of foreign population by nationality,Women,Iceland,2018,11
Iran,Inflows of foreign population by nationality,Women,Iceland,2019,19
Iran,Inflows of foreign population by nationality,Total,Iceland,2000,1
Iran,Inflows of foreign population by nationality,Total,Iceland,2001,2
Iran,Inflows of foreign population by nationality,Total,Iceland,2002,1
Iran,Inflows of foreign population by nationality,Total,Iceland,2003,6
Iran,Inflows of foreign population by nationality,Total,Iceland,2004,2
Iran,Inflows of foreign population by nationality,Total,Iceland,2005,2
Iran,Inflows of foreign population by nationality,Total,Iceland,2006,7
Iran,Inflows of foreign population by nationality,Total,Iceland,2007,8
Iran,Inflows of foreign population by nationality,Total,Iceland,2008,5
Iran,Inflows of foreign population by nationality,Total,Iceland,2009,3
Iran,Inflows of foreign population by nationality,Total,Iceland,2010,6
Iran,Inflows of foreign population by nationality,Total,Iceland,2011,10
Iran,Inflows of foreign population by nationality,Total,Iceland,2012,11
Iran,Inflows of foreign population by nationality,Total,Iceland,2013,7
Iran,Inflows of foreign population by nationality,Total,Iceland,2014,10
Iran,Inflows of foreign population by nationality,Total,Iceland,2015,16
Iran,Inflows of foreign population by nationality,Total,Iceland,2016,33
Iran,Inflows of foreign population by nationality,Total,Iceland,2017,10
Iran,Inflows of foreign population by nationality,Total,Iceland,2018,39
